;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_D33_title;Grant D33 Independence;;;;;;;;;;;;x,,
gtfo_D33_desc;We've had a good run, but it's time to end our rulership of D33: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D34_title;Grant D34 Independence;;;;;;;;;;;;x,,
gtfo_D34_desc;We've had a good run, but it's time to end our rulership of D34: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D35_title;Grant D35 Independence;;;;;;;;;;;;x,,
gtfo_D35_desc;We've had a good run, but it's time to end our rulership of D35: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D36_title;Grant D36 Independence;;;;;;;;;;;;x,,
gtfo_D36_desc;We've had a good run, but it's time to end our rulership of D36: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D37_title;Grant D37 Independence;;;;;;;;;;;;x,,
gtfo_D37_desc;We've had a good run, but it's time to end our rulership of D37: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D38_title;Grant D38 Independence;;;;;;;;;;;;x,,
gtfo_D38_desc;We've had a good run, but it's time to end our rulership of D38: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D39_title;Grant D39 Independence;;;;;;;;;;;;x,,
gtfo_D39_desc;We've had a good run, but it's time to end our rulership of D39: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D40_title;Grant D40 Independence;;;;;;;;;;;;x,,
gtfo_D40_desc;We've had a good run, but it's time to end our rulership of D40: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D41_title;Grant D41 Independence;;;;;;;;;;;;x,,
gtfo_D41_desc;We've had a good run, but it's time to end our rulership of D41: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D42_title;Grant D42 Independence;;;;;;;;;;;;x,,
gtfo_D42_desc;We've had a good run, but it's time to end our rulership of D42: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D43_title;Grant D43 Independence;;;;;;;;;;;;x,,
gtfo_D43_desc;We've had a good run, but it's time to end our rulership of D43: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D44_title;Grant D44 Independence;;;;;;;;;;;;x,,
gtfo_D44_desc;We've had a good run, but it's time to end our rulership of D44: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D45_title;Grant D45 Independence;;;;;;;;;;;;x,,
gtfo_D45_desc;We've had a good run, but it's time to end our rulership of D45: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D46_title;Grant D46 Independence;;;;;;;;;;;;x,,
gtfo_D46_desc;We've had a good run, but it's time to end our rulership of D46: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D47_title;Grant D47 Independence;;;;;;;;;;;;x,,
gtfo_D47_desc;We've had a good run, but it's time to end our rulership of D47: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D48_title;Grant D48 Independence;;;;;;;;;;;;x,,
gtfo_D48_desc;We've had a good run, but it's time to end our rulership of D48: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D49_title;Grant D49 Independence;;;;;;;;;;;;x,,
gtfo_D49_desc;We've had a good run, but it's time to end our rulership of D49: if you love something, let it go!;;;;;;;;;;;;x
gtfo_D50_title;Grant D50 Independence;;;;;;;;;;;;x,,
gtfo_D50_desc;We've had a good run, but it's time to end our rulership of D50: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAG_title;Grant Dagestan Independence;;;;;;;;;;;;x,,
gtfo_DAG_desc;We've had a good run, but it's time to end our rulership of Dagestan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAH_title;Grant Dahomey Independence;;;;;;;;;;;;x,,
gtfo_DAH_desc;We've had a good run, but it's time to end our rulership of Dahomey: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAI_title;Grant Dai Viet Independence;;;;;;;;;;;;x,,
gtfo_DAI_desc;We've had a good run, but it's time to end our rulership of Dai Viet: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAK_title;Grant Dakota Independence;;;;;;;;;;;;x,,
gtfo_DAK_desc;We've had a good run, but it's time to end our rulership of Dakota: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAM_title;Grant Damagaram Independence;;;;;;;;;;;;x,,
gtfo_DAM_desc;We've had a good run, but it's time to end our rulership of Damagaram: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAR_title;Grant Darfur Independence;;;;;;;;;;;;x,,
gtfo_DAR_desc;We've had a good run, but it's time to end our rulership of Darfur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAU_title;Grant Dauphine Independence;;;;;;;;;;;;x,,
gtfo_DAU_desc;We've had a good run, but it's time to end our rulership of Dauphine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DEN_title;Grant Denmark Independence;;;;;;;;;;;;x,,
gtfo_DEN_desc;We've had a good run, but it's time to end our rulership of Denmark: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DES_title;Grant Deseret Independence;;;;;;;;;;;;x,,
gtfo_DES_desc;We've had a good run, but it's time to end our rulership of Deseret: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DJA_title;Grant Jambi Independence;;;;;;;;;;;;x,,
gtfo_DJA_desc;We've had a good run, but it's time to end our rulership of Jambi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DJI_title;Grant Djibouti Independence;;;;;;;;;;;;x,,
gtfo_DJI_desc;We've had a good run, but it's time to end our rulership of Djibouti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DKU_title;Grant Don-Kuban Union Independence;;;;;;;;;;;;x,,
gtfo_DKU_desc;We've had a good run, but it's time to end our rulership of Don-Kuban Union: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLH_title;Grant Delhi Independence;;;;;;;;;;;;x,,
gtfo_DLH_desc;We've had a good run, but it's time to end our rulership of Delhi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLM_title;Grant Dalmatia Independence;;;;;;;;;;;;x,,
gtfo_DLM_desc;We've had a good run, but it's time to end our rulership of Dalmatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DMN_title;Grant Dominica Independence;;;;;;;;;;;;x,,
gtfo_DMN_desc;We've had a good run, but it's time to end our rulership of Dominica: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DMS_title;Grant Desmond Independence;;;;;;;;;;;;x,,
gtfo_DMS_desc;We've had a good run, but it's time to end our rulership of Desmond: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DNB_title;Grant Danubian Federation Independence;;;;;;;;;;;;x,,
gtfo_DNB_desc;We've had a good run, but it's time to end our rulership of Danubian Federation: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DND_title;Grant Dendi Independence;;;;;;;;;;;;x,,
gtfo_DND_desc;We've had a good run, but it's time to end our rulership of Dendi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DNL_title;Grant Daneland Independence;;;;;;;;;;;;x,,
gtfo_DNL_desc;We've had a good run, but it's time to end our rulership of Daneland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DOG_title;Grant Hundland Independence;;;;;;;;;;;;x,,
gtfo_DOG_desc;We've had a good run, but it's time to end our rulership of Hundland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DOM_title;Grant Dominican Republic Independence;;;;;;;;;;;;x,,
gtfo_DOM_desc;We've had a good run, but it's time to end our rulership of Dominican Republic: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DON_title;Grant Cossackia Independence;;;;;;;;;;;;x,,
gtfo_DON_desc;We've had a good run, but it's time to end our rulership of Cossackia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DRA_title;Grant Dravidistan Independence;;;;;;;;;;;;x,,
gtfo_DRA_desc;We've had a good run, but it's time to end our rulership of Dravidistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DRK_title;Grant Akavir Independence;;;;;;;;;;;;x,,
gtfo_DRK_desc;We've had a good run, but it's time to end our rulership of Akavir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DRU_title;Grant Druze Independence;;;;;;;;;;;;x,,
gtfo_DRU_desc;We've had a good run, but it's time to end our rulership of Druze: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DTT_title;Grant Dithmarschen Independence;;;;;;;;;;;;x,,
gtfo_DTT_desc;We've had a good run, but it's time to end our rulership of Dithmarschen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DUK_title;Grant Duckburg Independence;;;;;;;;;;;;x,,
gtfo_DUK_desc;We've had a good run, but it's time to end our rulership of Duckburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DUL_title;Grant Dulkadir Independence;;;;;;;;;;;;x,,
gtfo_DUL_desc;We've had a good run, but it's time to end our rulership of Dulkadir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DUR_title;Grant Durrani Empire Independence;;;;;;;;;;;;x,,
gtfo_DUR_desc;We've had a good run, but it's time to end our rulership of Durrani Empire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DZG_title;Grant Danzig Independence;;;;;;;;;;;;x,,
gtfo_DZG_desc;We've had a good run, but it's time to end our rulership of Danzig: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ECU_title;Grant Ecuador Independence;;;;;;;;;;;;x,,
gtfo_ECU_desc;We've had a good run, but it's time to end our rulership of Ecuador: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EGY_title;Grant Mamluks Independence;;;;;;;;;;;;x,,
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Mamluks: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EIC_title;Grant East India Company Independence;;;;;;;;;;;;x,,
gtfo_EIC_desc;We've had a good run, but it's time to end our rulership of East India Company: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ELE_title;Grant Eleph Independence;;;;;;;;;;;;x,,
gtfo_ELE_desc;We've had a good run, but it's time to end our rulership of Eleph: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ELS_title;Grant El Salvador Independence;;;;;;;;;;;;x,,
gtfo_ELS_desc;We've had a good run, but it's time to end our rulership of El Salvador: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENG_title;Grant United Kingdom Independence;;;;;;;;;;;;x,,
gtfo_ENG_desc;We've had a good run, but it's time to end our rulership of United Kingdom: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENL_title;Grant England Independence;;;;;;;;;;;;x,,
gtfo_ENL_desc;We've had a good run, but it's time to end our rulership of England: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENR_title;Grant Britannia Independence;;;;;;;;;;;;x,,
gtfo_ENR_desc;We've had a good run, but it's time to end our rulership of Britannia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENS_title;Grant Empire of the North Sea Independence;;;;;;;;;;;;x,,
gtfo_ENS_desc;We've had a good run, but it's time to end our rulership of Empire of the North Sea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENT_title;Grant Entre Rios Independence;;;;;;;;;;;;x,,
gtfo_ENT_desc;We've had a good run, but it's time to end our rulership of Entre Rios: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EPI_title;Grant Epirus Independence;;;;;;;;;;;;x,,
gtfo_EPI_desc;We've had a good run, but it's time to end our rulership of Epirus: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EQG_title;Grant Equatorial Guinea Independence;;;;;;;;;;;;x,,
gtfo_EQG_desc;We've had a good run, but it's time to end our rulership of Equatorial Guinea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ERI_title;Grant Eritrea Independence;;;;;;;;;;;;x,,
gtfo_ERI_desc;We've had a good run, but it's time to end our rulership of Eritrea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EST_title;Grant Estonia Independence;;;;;;;;;;;;x,,
gtfo_EST_desc;We've had a good run, but it's time to end our rulership of Estonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETH_title;Grant Ethiopia Independence;;;;;;;;;;;;x,,
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Ethiopia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETR_title;Grant Etruria Independence;;;;;;;;;;;;x,,
gtfo_ETR_desc;We've had a good run, but it's time to end our rulership of Etruria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EZO_title;Grant EzoRep Independence;;;;;;;;;;;;x,,
gtfo_EZO_desc;We've had a good run, but it's time to end our rulership of EzoRep: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FDL_title;Grant Fadhli Independence;;;;;;;;;;;;x,,
gtfo_FDL_desc;We've had a good run, but it's time to end our rulership of Fadhli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FEO_title;Grant Theodoro Independence;;;;;;;;;;;;x,,
gtfo_FEO_desc;We've had a good run, but it's time to end our rulership of Theodoro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FER_title;Grant Ferrara Independence;;;;;;;;;;;;x,,
gtfo_FER_desc;We've had a good run, but it's time to end our rulership of Ferrara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FEZ_title;Grant Fez Independence;;;;;;;;;;;;x,,
gtfo_FEZ_desc;We've had a good run, but it's time to end our rulership of Fez: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FIJ_title;Grant Fiji Independence;;;;;;;;;;;;x,,
gtfo_FIJ_desc;We've had a good run, but it's time to end our rulership of Fiji: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FIN_title;Grant Finland Independence;;;;;;;;;;;;x,,
gtfo_FIN_desc;We've had a good run, but it's time to end our rulership of Finland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FIU_title;Grant Fiume Independence;;;;;;;;;;;;x,,
gtfo_FIU_desc;We've had a good run, but it's time to end our rulership of Fiume: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJL_title;Grant Lau Independence;;;;;;;;;;;;x,,
gtfo_FJL_desc;We've had a good run, but it's time to end our rulership of Lau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJN_title;Grant Fujian Independence;;;;;;;;;;;;x,,
gtfo_FJN_desc;We've had a good run, but it's time to end our rulership of Fujian: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLA_title;Grant Flanders Independence;;;;;;;;;;;;x,,
gtfo_FLA_desc;We've had a good run, but it's time to end our rulership of Flanders: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLR_title;Grant Florida Independence;;;;;;;;;;;;x,,
gtfo_FLR_desc;We've had a good run, but it's time to end our rulership of Florida: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FOI_title;Grant Foix Independence;;;;;;;;;;;;x,,
gtfo_FOI_desc;We've had a good run, but it's time to end our rulership of Foix: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FOX_title;Grant Fox Independence;;;;;;;;;;;;x,,
gtfo_FOX_desc;We've had a good run, but it's time to end our rulership of Fox: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRA_title;Grant France Independence;;;;;;;;;;;;x,,
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRI_title;Grant Friesland Independence;;;;;;;;;;;;x,,
gtfo_FRI_desc;We've had a good run, but it's time to end our rulership of Friesland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRK_title;Grant Frankia Independence;;;;;;;;;;;;x,,
gtfo_FRK_desc;We've had a good run, but it's time to end our rulership of Frankia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRM_title;Grant Frankfurt Independence;;;;;;;;;;;;x,,
gtfo_FRM_desc;We've had a good run, but it's time to end our rulership of Frankfurt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRO_title;Grant Faroe Independence;;;;;;;;;;;;x,,
gtfo_FRO_desc;We've had a good run, but it's time to end our rulership of Faroe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRR_title;Grant Gallia Independence;;;;;;;;;;;;x,,
gtfo_FRR_desc;We've had a good run, but it's time to end our rulership of Gallia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FSA_title;Grant Free States of America Independence;;;;;;;;;;;;x,,
gtfo_FSA_desc;We've had a good run, but it's time to end our rulership of Free States of America: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FUJ_title;Grant Fujiwara Independence;;;;;;;;;;;;x,,
gtfo_FUJ_desc;We've had a good run, but it's time to end our rulership of Fujiwara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FUL_title;Grant Fulo Independence;;;;;;;;;;;;x,,
gtfo_FUL_desc;We've had a good run, but it's time to end our rulership of Fulo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GAB_title;Grant Gabon Independence;;;;;;;;;;;;x,,
gtfo_GAB_desc;We've had a good run, but it's time to end our rulership of Gabon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GAK_title;Grant Gakwar Independence;;;;;;;;;;;;x,,
gtfo_GAK_desc;We've had a good run, but it's time to end our rulership of Gakwar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GAM_title;Grant Guamar Independence;;;;;;;;;;;;x,,
gtfo_GAM_desc;We've had a good run, but it's time to end our rulership of Guamar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GAZ_title;Grant Gaza Independence;;;;;;;;;;;;x,,
gtfo_GAZ_desc;We've had a good run, but it's time to end our rulership of Gaza: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GBI_title;Grant Guinea-Bissau Independence;;;;;;;;;;;;x,,
gtfo_GBI_desc;We've had a good run, but it's time to end our rulership of Guinea-Bissau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GBR_title;Grant Albion Independence;;;;;;;;;;;;x,,
gtfo_GBR_desc;We've had a good run, but it's time to end our rulership of Albion: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GBU_title;Grant Gabu Independence;;;;;;;;;;;;x,,
gtfo_GBU_desc;We've had a good run, but it's time to end our rulership of Gabu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GCO_title;Grant Gran Colombia Independence;;;;;;;;;;;;x,,
gtfo_GCO_desc;We've had a good run, but it's time to end our rulership of Gran Colombia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GDL_title;Grant Guadeloupe Independence;;;;;;;;;;;;x,,
gtfo_GDL_desc;We've had a good run, but it's time to end our rulership of Guadeloupe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GDW_title;Grant Garha Independence;;;;;;;;;;;;x,,
gtfo_GDW_desc;We've had a good run, but it's time to end our rulership of Garha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEL_title;Grant Geledi Independence;;;;;;;;;;;;x,,
gtfo_GEL_desc;We've had a good run, but it's time to end our rulership of Geledi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEN_title;Grant Genoa Independence;;;;;;;;;;;;x,,
gtfo_GEN_desc;We've had a good run, but it's time to end our rulership of Genoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEO_title;Grant Georgia Independence;;;;;;;;;;;;x,,
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GER_title;Grant Germany Independence;;;;;;;;;;;;x,,
gtfo_GER_desc;We've had a good run, but it's time to end our rulership of Germany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GHN_title;Grant Ghana Independence;;;;;;;;;;;;x,,
gtfo_GHN_desc;We've had a good run, but it's time to end our rulership of Ghana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GHR_title;Grant Garhwal Independence;;;;;;;;;;;;x,,
gtfo_GHR_desc;We've had a good run, but it's time to end our rulership of Garhwal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLC_title;Grant Galicia Independence;;;;;;;;;;;;x,,
gtfo_GLC_desc;We've had a good run, but it's time to end our rulership of Galicia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLM_title;Grant Galicia-Lodomeria Independence;;;;;;;;;;;;x,,
gtfo_GLM_desc;We've had a good run, but it's time to end our rulership of Galicia-Lodomeria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLR_title;Grant Gelre Independence;;;;;;;;;;;;x,,
gtfo_GLR_desc;We've had a good run, but it's time to end our rulership of Gelre: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GMB_title;Grant Gambia Independence;;;;;;;;;;;;x,,
gtfo_GMB_desc;We've had a good run, but it's time to end our rulership of Gambia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GMJ_title;Grant Guominjun Independence;;;;;;;;;;;;x,,
gtfo_GMJ_desc;We've had a good run, but it's time to end our rulership of Guominjun: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GNE_title;Grant Guinea Independence;;;;;;;;;;;;x,,
gtfo_GNE_desc;We've had a good run, but it's time to end our rulership of Guinea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GNG_title;Grant Guangdong Independence;;;;;;;;;;;;x,,
gtfo_GNG_desc;We've had a good run, but it's time to end our rulership of Guangdong: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOC_title;Grant Golkonda Independence;;;;;;;;;;;;x,,
gtfo_GOC_desc;We've had a good run, but it's time to end our rulership of Golkonda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOL_title;Grant Golden Horde Independence;;;;;;;;;;;;x,,
gtfo_GOL_desc;We've had a good run, but it's time to end our rulership of Golden Horde: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GON_title;Grant Gonder Independence;;;;;;;;;;;;x,,
gtfo_GON_desc;We've had a good run, but it's time to end our rulership of Gonder: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOS_title;Grant Goslar Independence;;;;;;;;;;;;x,,
gtfo_GOS_desc;We've had a good run, but it's time to end our rulership of Goslar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOT_title;Grant Gotland Independence;;;;;;;;;;;;x,,
gtfo_GOT_desc;We've had a good run, but it's time to end our rulership of Gotland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRA_title;Grant Granada Independence;;;;;;;;;;;;x,,
gtfo_GRA_desc;We've had a good run, but it's time to end our rulership of Granada: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRD_title;Grant Grenada Independence;;;;;;;;;;;;x,,
gtfo_GRD_desc;We've had a good run, but it's time to end our rulership of Grenada: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRE_title;Grant Greece Independence;;;;;;;;;;;;x,,
gtfo_GRE_desc;We've had a good run, but it's time to end our rulership of Greece: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRH_title;Grant Great Horde Independence;;;;;;;;;;;;x,,
gtfo_GRH_desc;We've had a good run, but it's time to end our rulership of Great Horde: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRI_title;Grant Guarani Independence;;;;;;;;;;;;x,,
gtfo_GRI_desc;We've had a good run, but it's time to end our rulership of Guarani: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRJ_title;Grant Garjat Independence;;;;;;;;;;;;x,,
gtfo_GRJ_desc;We've had a good run, but it's time to end our rulership of Garjat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRN_title;Grant Greenland Independence;;;;;;;;;;;;x,,
gtfo_GRN_desc;We've had a good run, but it's time to end our rulership of Greenland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUA_title;Grant Guatemala Independence;;;;;;;;;;;;x,,
gtfo_GUA_desc;We've had a good run, but it's time to end our rulership of Guatemala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUJ_title;Grant Gujarat Independence;;;;;;;;;;;;x,,
gtfo_GUJ_desc;We've had a good run, but it's time to end our rulership of Gujarat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUY_title;Grant Guyana Independence;;;;;;;;;;;;x,,
gtfo_GUY_desc;We've had a good run, but it's time to end our rulership of Guyana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GWA_title;Grant Gwailor Independence;;;;;;;;;;;;x,,
gtfo_GWA_desc;We've had a good run, but it's time to end our rulership of Gwailor: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GXI_title;Grant Guangxi Clique Independence;;;;;;;;;;;;x,,
gtfo_GXI_desc;We've had a good run, but it's time to end our rulership of Guangxi Clique: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GYN_title;Grant Gascony Independence;;;;;;;;;;;;x,,
gtfo_GYN_desc;We've had a good run, but it's time to end our rulership of Gascony: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GYP_title;Grant Gypsyland Independence;;;;;;;;;;;;x,,
gtfo_GYP_desc;We've had a good run, but it's time to end our rulership of Gypsyland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GZK_title;Grant Gazikumukh Independence;;;;;;;;;;;;x,,
gtfo_GZK_desc;We've had a good run, but it's time to end our rulership of Gazikumukh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAI_title;Grant Haiti Independence;;;;;;;;;;;;x,,
gtfo_HAI_desc;We've had a good run, but it's time to end our rulership of Haiti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAL_title;Grant Hail Independence;;;;;;;;;;;;x,,
gtfo_HAL_desc;We've had a good run, but it's time to end our rulership of Hail: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAM_title;Grant Hamburg Independence;;;;;;;;;;;;x,,
gtfo_HAM_desc;We've had a good run, but it's time to end our rulership of Hamburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAN_title;Grant Hanover Independence;;;;;;;;;;;;x,,
gtfo_HAN_desc;We've had a good run, but it's time to end our rulership of Hanover: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAR_title;Grant Harar Independence;;;;;;;;;;;;x,,
gtfo_HAR_desc;We've had a good run, but it's time to end our rulership of Harar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAT_title;Grant Hainaut Independence;;;;;;;;;;;;x,,
gtfo_HAT_desc;We've had a good run, but it's time to end our rulership of Hainaut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAU_title;Grant Hausa Independence;;;;;;;;;;;;x,,
gtfo_HAU_desc;We've had a good run, but it's time to end our rulership of Hausa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAW_title;Grant Hawaii Independence;;;;;;;;;;;;x,,
gtfo_HAW_desc;We've had a good run, but it's time to end our rulership of Hawaii: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HBY_title;Grant Hobyo Independence;;;;;;;;;;;;x,,
gtfo_HBY_desc;We've had a good run, but it's time to end our rulership of Hobyo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDA_title;Grant Haida Independence;;;;;;;;;;;;x,,
gtfo_HDA_desc;We've had a good run, but it's time to end our rulership of Haida: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDJ_title;Grant Hejaz Independence;;;;;;;;;;;;x,,
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Hejaz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDR_title;Grant Hadramut Independence;;;;;;;;;;;;x,,
gtfo_HDR_desc;We've had a good run, but it's time to end our rulership of Hadramut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDU_title;Grant Hindustan Independence;;;;;;;;;;;;x,,
gtfo_HDU_desc;We've had a good run, but it's time to end our rulership of Hindustan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDY_title;Grant Hadiya Independence;;;;;;;;;;;;x,,
gtfo_HDY_desc;We've had a good run, but it's time to end our rulership of Hadiya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HEG_title;Grant Mobian Independence;;;;;;;;;;;;x,,
gtfo_HEG_desc;We've had a good run, but it's time to end our rulership of Mobian: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HEK_title;Grant Hesse-Kassel Independence;;;;;;;;;;;;x,,
gtfo_HEK_desc;We've had a good run, but it's time to end our rulership of Hesse-Kassel: if you love something, let it go!;;;;;;;;;;;;x
